"wknr_2021","wkname_2021","land","landid","wbmighintergrund_anteil","wbmighintergrund_absolut","mighintergrund_anteil","mighintergrund_absolut","wahlberechtigte","waehler","gueltige_1","gueltige_2","cdu_1","spd_1","linke_1","gruene_1","csu_1","fdp_1","afd_1","bevdichte","absolventen_hochschulreife","max1","max2","difference","vp","z","wk_gewinner_party","wk_gewinner_share","wk_gewinner_mh","wk_zweiter","wk_zweiter_party","wk_zweiter_share","wk_zweiter_mh","Quelle","Abgerufen.am","indicator_vp","mh_total"
26,"Friesland – Wilhelmshaven – Wittmund","Niedersachsen",4,0.0665573999285698,12702.8297424316,0.135942742228508,31477.3894424438,189344,139153,137343,137596,44537,54504,8127,7542,0,8074,11392,168.7,29.5,54504,44537,9967,2735.82974243164,"Möller Siemtje ","SPD","45,40",0,"Janssen Anne","CDU","22,00",0,"","",1,0
27,"Oldenburg – Ammerland","Niedersachsen",4,0.0738943591713905,17797.0721702576,0.15583024919033,45649.634262085,226253,175967,174170,174681,52598,63235,14081,19827,0,10635,11592,352.6,41.6,63235,52598,10637,7160.07217025757,"Rohde Dennis","SPD","38,20",0,"Menge Susanne","Grüne","20,40",0,"","",1,0
28,"Delmenhorst – Wesermarsch – Oldenburg-Land","Niedersachsen",4,0.11231941729784,26839.2337799072,0.206317514181137,61611.2717132568,227696,170194,168228,168819,57390,55326,10262,12933,0,15208,15122,152.2,24.4,57390,55326,2064,24775.2337799072,"Mittag Susanne ","SPD","36,70",0,"Albrecht Philipp","CDU","24,90",0,"https://www.abgeordnetenwatch.de/profile/philipp-albrecht","1.2.2023 10:55:00",1,0
29,"Cuxhaven – Stade II","Niedersachsen",4,0.0652873888611794,12636.8358039856,0.138469696044922,32896.464176178,187679,141726,140293,140719,59930,43077,8121,8491,0,6984,11862,91.2,24.7,59930,43077,16853,-4216.1641960144,"Schneider Daniel Dominik","SPD","36,80",0,"Ferlemann Ek Matthias","CDU","30,10",0,"","",0,0
30,"Stade I – Rotenburg II","Niedersachsen",4,0.109796352684498,21826.540813446,0.197422012686729,49705.4167556763,197297,153044,151852,152195,67463,42829,7994,10613,0,8797,12590,129.9,30.3,67463,42829,24634,-2807.45918655396,"Grundmann Oliver Klaus","CDU","34,60",0,"Köser Kai","SPD","31,70",0,"https://www.spd-stade.de/personen/kai-koeser/","1.2.2023 10:57:00",0,0
31,"Mittelems","Niedersachsen",4,0.0956777185201645,22214.9702758789,0.210063919425011,63527.0055465698,230151,179811,178624,178852,95815,47107,6813,8900,0,10089,8949,133.2,27.1,95815,47107,48708,-26493.0297241211,"Stegemann Albert","CDU","40,50",0,"DeRidder Daniela","SPD","29,20",1,"","",0,1
32,"Cloppenburg – Vechta","Niedersachsen",4,0.177173033356667,41121.1443023682,0.299509763717651,93501.2834262848,220042,163669,162119,162516,93545,32997,6640,7034,0,8306,12683,140.3,23.3,93545,32997,60548,-19426.8556976318,"Breher Silvia Maria","CDU","49,10",0,"Bartz Alexander","SPD","20,70",0,"","",0,0
33,"Diepholz – Nienburg I","Niedersachsen",4,0.0819204226136208,15625.0427055359,0.170485720038414,39897.1690940857,193934,148298,146818,147278,65465,40102,7759,11252,0,10285,11955,99.5,29.2,65465,40102,25363,-9737.95729446411,"Knoerig Axel","CDU","33,80",0,"Schierenbeck Peggy","SPD","31,90",0,"","",0,0
34,"Osterholz – Verden","Niedersachsen",4,0.0768137350678444,15204.3725967407,0.16765758395195,41463.0413780212,196136,153036,151768,151798,59560,48505,10714,10146,0,8273,12995,174.1,35.8,59560,48505,11055,4149.37259674072,"Mattfeld Andreas","CDU","33,70",0,"Harjes Michael","SPD ","32,50",0,"https://www.spd-ritterhude.de/personen/michael-harjes/","1.2.2023 10:58:00",1,0
35,"Rotenburg I – Heidekreis","Niedersachsen",4,0.0953871086239815,16432.9212341309,0.182168066501617,38716.9012908936,168101,127071,126097,126104,45510,51938,5219,6053,0,5659,10331,78.9,30,51938,45510,6428,10004.9212341309,"Klingbeil Lars","SPD","47,60",0,"Büttinghaus Carsten ","CDU","26,40",0,"https://www.abgeordnetenwatch.de/profile/carsten-buettinghaus","1.2.2023 10:58:00",1,0
36,"Harburg","Niedersachsen",4,0.087746761739254,17272.7549705505,0.188278540968895,47205.9631729126,199081,161837,160512,160855,65223,44017,8638,14565,0,10458,14826,203.8,39.8,65223,44017,21206,-3933.24502944946,"Stadler Svenja","SPD","31,00",0,"Grosse-Brömer Michael","CDU","29,10",0,"","",0,0
37,"Lüchow-Dannenberg – Lüneburg","Niedersachsen",4,0.0717610791325569,13501.9907226562,0.144433200359344,33390.7146682739,180865,141000,139618,140139,46740,39169,11729,20604,0,9245,12131,91,36.8,46740,39169,7571,5930.99072265625,"Blankenburg Jakob","SPD","28,20",0,"Verlinden Julia","Grüne","25,10",0,"","",1,0
38,"Osnabrück-Land","Niedersachsen",4,0.166925549507141,33910.8549880981,0.254631757736206,65067.9109458923,199131,151302,150076,150195,68379,42438,7908,11613,0,9576,9934,138.3,24,68379,42438,25941,7969.85498809814,"Dr Berghegger Andre","CDU","36,20",0,"Hennig Anke","SPD","29,70",0,"","",1,0
39,"Stadt Osnabrück","Niedersachsen",4,0.144945576786995,31055.3478775024,0.227232217788696,59472.1863136292,196720,152107,149408,151169,60185,47279,12521,15108,0,13353,0,794.2,38.2,60185,47279,12906,18149.3478775024,"Gava Manuel","SPD","30,30",1,"Middelberg Mathias","CDU","29,20",0,"","",1,1
40,"Nienburg II – Schaumburg","Niedersachsen",4,0.0959078520536423,19104.0453529358,0.195690110325813,48575.845451355,194800,146673,145477,145654,59128,47615,6530,11206,0,6539,13292,157.5,36.6,59128,47615,11513,7591.04535293579,"Völlers Marja-Liisa","SPD","35,30",0,"Beermann Maik","CDU","30,90",0,"","",1,0
41,"Stadt Hannover I","Niedersachsen",4,0.203684854841615,38902.6395529487,0.3663009551857,95238.4124962662,179883,134805,133415,133849,39487,47549,9579,12102,0,8734,11364,2303.8,40.9,47549,39487,8062,30840.6395529487,"Ahmetovic Adis","SPD","34,90",1,"Michaelsen Swantje Henrike","Grüne","21,80",0,"","",1,1
42,"Stadt Hannover II","Niedersachsen",4,0.20032741217939,40718.0007363579,0.360263027352968,99682.6383689071,193433,149031,147624,148091,42713,49744,13775,16486,0,8165,10590,3028.6,40.9,49744,42713,7031,33687.0007363579,"Fahimi Yasmin","SPD","32,90",1,"Kindler Sven-Christian","Grüne","26,50",0,"","",1,1
43,"Hannover-Land I","Niedersachsen",4,0.126519381999969,30350.9439849854,0.237617537379265,72732.1006011963,232926,181650,180096,180376,72282,59552,8958,10725,0,9325,17217,269.8,40.9,72282,59552,12730,17620.9439849854,"Schamber Rebecca","SPD","33,70",0,"Dr Hoppenstedt Hendrik","CDU","31,90",0,"","",1,0
44,"Celle – Uelzen","Niedersachsen",4,0.111756891012192,23880.0280799866,0.18549294769764,49213.2300758362,214612,162145,160796,161006,68655,48189,7901,9266,0,8830,16199,90.1,27.6,68655,48189,20466,3414.02807998657,"Otte Henning","CDU","32,90",0,"Mende Dirk-Ulrich","SPD","32,30",0,"https://www.spdfraktion.de/abgeordnete/mende","1.2.2023 10:59:00",1,0
45,"Gifhorn – Peine","Niedersachsen",4,0.116002008318901,26209.3545303345,0.197033554315567,54827.9362030029,218556,168861,167373,167573,60345,63294,8827,9342,0,8062,16501,156.5,36.8,63294,60345,2949,23260.3545303345,"Heil Wolfgang-Hubertus","SPD","43,70",0,"Pahlmann Ingrid","CDU","24,40",0,"","",1,0
46,"Hameln-Pyrmont – Holzminden","Niedersachsen",4,0.145847126841545,27219.448387146,0.243479952216148,55838.5838356018,187377,139780,138469,138673,46181,54130,8220,7511,0,8034,13143,131,29.2,54130,46181,7949,19270.448387146,"Schraps Johannes ","SPD","43,20",0,"Wulf Mareike Lotte","CDU","25,50",0,"","",1,0
47,"Hannover-Land II","Niedersachsen",4,0.118262074887753,27547.1012992859,0.245882198214531,74878.0145530701,239923,188495,186766,187016,65815,69104,10124,10693,0,10092,17570,327.8,40.9,69104,65815,3289,24258.1012992859,"Dr Miersch Matthias","SPD","40,70",0,"Kuban Tilman Moritz","CDU","25,50",0,"","",1,0
48,"Hildesheim","Niedersachsen",4,0.119112960994244,25347.8159637451,0.206756427884102,54090.5973167419,218349,169613,167861,168297,60457,62448,8502,12691,0,9330,14433,228.3,35.7,62448,60457,1991,23356.8159637451,"Westphal Bernd Helmut","SPD","38,70",0,"Bertam Ute","CDU","25,80",0,"","",1,0
49,"Salzgitter – Wolfenbüttel","Niedersachsen",4,0.0945855304598808,19225.9102401733,0.229296445846558,60086.9104499817,206133,157046,155479,155719,45310,66587,9290,6680,0,7268,18564,215,30,66587,45310,21277,-2051.08975982666,"Kreiser Dunja","SPD","38,60",0,"Bormann Holger","CDU","27,20",0,"https://www.holger-bormann.de/ueber-mich/","1.2.2023 11:01:00",0,0
50,"Braunschweig","Niedersachsen",4,0.141463622450829,28343.6607398987,0.253975301980972,63427.125629425,192041,147712,146350,146657,45881,55641,11145,11761,0,7877,11377,1294.3,51.2,55641,45881,9760,18583.6607398987,"Dr Pantazis Christos","SPD","36,70",1,"Müller Carsten","CDU","22,40",0,"","",1,1
