wknr_2021;wkme_2021;land;z;wk_gewinner_party;wk_gewinner_share;wk_gewinner_mh;wk_zweiter;wk_zweiter_party;wk_zweiter_share;wk_zweiter_mh;Quelle;Abgerufen am
83;Berlin-Friedrichshain-Kreuzberg â€“ Prenzlauer Berg Ost;Berlin;Bayram Can;Grüne;37,90;1;Meiser Pascal;LINKE;17,70;0;;
84;Berlin-Treptow-KÃ¶penick;Berlin;Gysi Gregor;LINKE;35,40;0;Trasnea A-Maria;SPD;15,40;1;;
85;Berlin-Marzahn-Hellersdorf;Berlin;Czaja Mario;CDU;29,40;0;Pau Petra Angelika;LINKE;21,90;0;;
86;Berlin-Lichtenberg;Berlin;Dr Lötzsch Gesine;LINKE;25,80;0;Dr Ingenbleek Anja Sigrid;SPD;19,60;0;https://anja-ingenbleek.spd.de/ueber-mich/;1.2.2023 13:19:00
87;Aachen I;Nordrhein-Westfalen;Krischer Oliver ;Grüne;30,20;0;Henke Rudolf;CDU;25,60;0;;
88;Aachen II;Nordrhein-Westfalen;Moll Claudia;SPD;34,50;0;Dos Santos Firnhaber Catari;CDU;32,50;1;;
89;Heinsberg;Nordrhein-Westfalen;Oellers Wilfried;CDU;39,70;0;Spinrath Norbert;SPD;25,90;0;;
90;DÃ¼ren;Nordrhein-Westfalen;Rachel Thomas Walther;CDU;36,70;0;Nietan Dietmar Heinrich;SPD;30,80;0;;
91;Rhein-Erft-Kreis I;Nordrhein-Westfalen;Dr Kippels Georg;CDU;33,00;0;Spielmanns Aaron Luca;SPD;30,50;;;
92;Euskirchen â€“ Rhein-Erft-Kreis II;Nordrhein-Westfalen;Seif Detlef;CDU;34,60;0;Andres Dagmar;SPD;26,70;0;;
93;KÃ¶ln I;Nordrhein-Westfalen;Abdi Sae;SPD;27,90;1;Friede Lisa-Marie;Grüne;23,90;0;https://www.lisa-marie-friede.de/;1.2.2023 13:21:00
94;KÃ¶ln II;Nordrhein-Westfalen;Lehmann Sven;Grüne;34,60;0;Dr von Möller Sandra;CDU;25,00;0;https://sandravonmoeller.de/wp-content/uploads/2021/02/Vita_SvM.pdf;1.2.2023 13:25:00
95;KÃ¶ln III;Nordrhein-Westfalen;Dr Mützenich Rolf Heinrich;SPD;29,90;0;Dröge Kathari;Grüne;28,30;0;;
96;Bonn;Nordrhein-Westfalen;Uhlig Katrin Babette;Grüne;25,20;0;Rosenthal Jessica;SPD;25,10;0;;
97;Rhein-Sieg-Kreis I;Nordrhein-Westfalen;Winkelmeier-Becker Elisabeth;CDU;32,60;0;Hartmann Sebastian;SPD;28,50;0;;
98;Rhein-Sieg-Kreis II;Nordrhein-Westfalen;Dr Röttgen Norbert;CDU;40,00;0;Dr Stoppenbrink Katja;SPD;23,40;0;https://katjastoppenbrink.de/mein-leben/;1.2.2023 13:27:00
99;Oberbergischer Kreis;Nordrhein-Westfalen;Dr Brodesser Carsten;CDU;33,90;0;Engelmeier Michaela;SPD;26,80;0;;
100;Rheinisch-Bergischer Kreis;Nordrhein-Westfalen;Dr Tebroke Hermann-Josef;CDU;30,00;0;Krasniqi Kastriot;SPD;22,70;1;;
101;Leverkusen â€“ KÃ¶ln IV;Nordrhein-Westfalen;Dr Lauterbach Karl;SPD;45,60;0;Güler Serap;CDU;20,40;1;;
102;Wuppertal I;Nordrhein-Westfalen;Lindh Helge Frederik;SPD;37,30;1;Lünenschloss Caroline;CDU;22,00;0;https://www.caroline-luenenschloss.de/;1.2.2023 13:29:00
103;Solingen â€“ Remscheid â€“ Wuppertal II;Nordrhein-Westfalen;Schäfer Ingo;SPD;32,60;0;Hardt Jürgen ;CDU;27,60;0;;
104;Mettmann I;Nordrhein-Westfalen;Dr Wiener Klaus;CDU;30,00;0;Steicker Christian;SPD;24,90;0;https://www.spd-hilden.de/christian-steinacker/;1.2.2023 13:34:00
